Date,Open,High,Low,Close,Adj Close,Volume,% change
2022-01-18,74.970001,75.879997,73.500000,74.550003,70.992065,7808700,-0.002542
2022-01-19,75.269997,75.650002,73.220001,73.349998,69.849342,6582800,-0.016096
2022-01-20,72.639999,74.250000,71.809998,71.989998,68.554237,7200600,-0.018541
2022-01-21,71.449997,71.629997,69.839996,70.699997,67.325806,10194200,-0.017919
2022-01-24,69.050003,70.720001,67.489998,70.389999,67.030609,9624700,-0.004385
2022-01-25,69.900002,71.849998,68.739998,71.500000,68.087624,10674200,0.015769
2022-01-26,72.389999,73.199997,70.419998,70.980003,67.592453,7942800,-0.007273
2022-01-27,72.629997,73.290001,70.540001,71.900002,68.468536,9207900,0.012961
2022-01-28,71.800003,72.540001,70.120003,71.800003,68.373306,7761300,-0.001391
2022-01-31,71.459999,71.930000,70.330002,71.750000,68.325691,6729400,-0.000696
2022-02-01,71.070000,74.209999,70.779999,74.019997,70.487350,7660300,0.031638
2022-02-02,76.290001,78.779999,76.050003,78.500000,74.753540,12585400,0.060524
2022-02-03,78.580002,78.900002,76.629997,76.970001,73.296562,7069300,-0.019490
2022-02-04,77.620003,78.940002,77.309998,78.190002,74.458344,6173200,0.015850
2022-02-07,78.169998,80.559998,77.769997,79.830002,76.020073,7263900,0.020975
2022-02-08,79.949997,80.459999,78.410004,79.290001,75.505852,7949500,-0.006764
2022-02-09,79.269997,80.779999,79.269997,79.790001,75.981979,5570300,0.006306
2022-02-10,79.629997,81.309998,79.279999,79.739998,75.934357,6398100,-0.000627
2022-02-11,80.209999,81.389999,79.690002,81.190002,77.315163,6516900,0.018184
2022-02-14,80.860001,81.099998,78.540001,79.160004,75.382050,6547200,-0.025003
2022-02-15,77.300003,79.120003,76.910004,78.410004,75.218971,4311500,-0.002163
2022-02-16,79.150002,80.279999,77.650002,78.059998,74.883209,5735100,-0.004464
2022-02-17,77.830002,78.320000,76.680000,76.959999,73.827980,7034800,-0.014092
2022-02-18,76.220001,77.699997,76.180000,77.019997,73.885536,4845200,0.000780
2022-02-22,78.459999,78.599998,74.800003,75.629997,72.552101,4872000,-0.018047
2022-02-23,76.269997,76.930000,75.470001,75.720001,72.638443,5763700,0.001190
2022-02-24,76.059998,76.410004,72.750000,74.459999,71.429718,7497700,-0.016640
2022-02-25,75.220001,77.029999,74.959999,76.540001,73.425064,5275800,0.027934
2022-02-28,75.610001,77.900002,75.410004,77.870003,74.700951,8031300,0.017377
2022-03-01,78.550003,79.279999,74.400002,75.010002,71.957344,6502300,-0.036728
2022-03-02,76.180000,77.750000,74.320000,76.989998,73.856758,8013300,0.026396
2022-03-03,76.870003,78.459999,76.650002,77.370003,74.221306,5694500,0.004936
2022-03-04,76.360001,77.769997,76.160004,77.730003,74.566643,6663600,0.004653
2022-03-07,77.769997,78.690002,73.349998,74.540001,71.506470,9396700,-0.041039
2022-03-08,76.610001,78.330002,75.150002,76.220001,73.118103,10534200,0.022538
2022-03-09,74.800003,77.279999,73.500000,75.430000,72.360237,8088700,-0.010365
2022-03-10,76.040001,78.250000,75.360001,77.930000,74.758499,7368900,0.033143
2022-03-11,77.360001,79.930000,77.360001,78.510002,75.314903,8530000,0.007443
2022-03-14,77.690002,78.699997,75.510002,76.660004,73.540192,7896700,-0.023564
2022-03-15,75.099998,75.320000,73.180000,74.400002,71.372169,7873000,-0.029481
2022-03-16,75.160004,76.000000,74.239998,74.860001,71.813446,6809700,0.006183
2022-03-17,75.750000,77.250000,75.580002,77.150002,74.010254,7091300,0.030590
2022-03-18,77.110001,78.400002,76.059998,78.320000,75.132622,17588400,0.015165
2022-03-21,79.800003,80.220001,79.169998,79.980003,76.725075,6260900,0.021195
2022-03-22,79.940002,80.250000,78.269997,79.250000,76.024788,5131300,-0.009127
2022-03-23,80.070000,80.949997,79.690002,80.459999,77.185539,4641200,0.015268
2022-03-24,80.989998,81.750000,80.389999,81.389999,78.077690,4246900,0.011559
2022-03-25,81.000000,82.410004,80.760002,82.230003,78.883514,5186500,0.010321
2022-03-28,81.029999,82.440002,80.739998,81.970001,78.634094,4447900,-0.003162
2022-03-29,80.660004,83.150002,80.489998,83.139999,79.756470,4203800,0.014273
2022-03-30,84.180000,85.500000,83.709999,85.349998,81.876541,5880400,0.026582
2022-03-31,84.589996,87.099998,84.199997,85.500000,82.020432,7041200,0.001757
2022-04-01,85.279999,86.269997,84.269997,84.809998,81.358521,7411800,-0.008070
2022-04-04,85.010002,85.980003,84.449997,85.070000,81.607933,3801300,0.003066
2022-04-05,85.510002,86.440002,84.639999,84.709999,81.262581,3789100,-0.004232
2022-04-06,85.349998,85.940002,84.029999,85.570000,82.087585,4564400,0.010152
2022-04-07,85.970001,86.370003,83.949997,85.849998,82.356194,4205600,0.003272
2022-04-08,86.519997,87.669998,85.750000,86.900002,83.363457,5088800,0.012231
2022-04-11,86.220001,86.339996,84.730003,84.879997,81.425644,4464700,-0.023245
2022-04-12,86.410004,87.519997,85.550003,85.800003,82.308220,4236100,0.010839
2022-04-13,86.669998,87.639999,85.760002,87.589996,84.025375,3342100,0.020862
2022-04-14,87.440002,88.320000,87.000000,87.199997,83.651245,4080500,-0.004453
2022-04-18,88.440002,90.610001,88.029999,90.110001,86.442825,5281300,0.033372
2022-04-19,89.699997,91.209999,89.389999,90.440002,86.759392,3868900,0.003662
2022-04-20,90.750000,91.879997,90.540001,90.980003,87.277412,4809000,0.005971
2022-04-21,92.000000,93.160004,88.680000,88.739998,85.128578,5588200,-0.024621
2022-04-22,88.419998,89.580002,87.000000,87.080002,83.536133,4052200,-0.018706
2022-04-25,84.680000,84.989998,81.570000,84.260002,80.830887,4915600,-0.032384
2022-04-26,84.849998,86.959999,84.239998,85.470001,81.991661,5208400,0.014361
2022-04-27,85.849998,88.040001,84.419998,87.250000,83.699211,5219900,0.020826
2022-04-28,87.849998,90.230003,86.669998,89.690002,86.039909,5157900,0.027966
2022-04-29,89.830002,90.540001,87.190002,87.260002,83.708809,5081900,-0.027093
2022-05-02,87.440002,89.339996,86.449997,89.120003,85.493111,5088200,0.021316
2022-05-03,88.650002,93.209999,87.449997,92.650002,88.879456,5831600,0.039610
2022-05-04,94.059998,96.550003,92.940002,96.349998,92.428864,5416300,0.039935
2022-05-05,96.379997,96.900002,92.209999,94.099998,90.270432,5020700,-0.023352
2022-05-06,95.250000,96.000000,92.040001,95.919998,92.016373,4572200,0.019341
2022-05-09,93.599998,94.529999,90.650002,90.860001,87.162292,6756700,-0.052752
2022-05-10,91.949997,94.769997,89.809998,91.720001,87.987297,6186400,0.009465
2022-05-11,93.160004,95.599998,91.580002,91.959999,88.217529,6411000,0.002617
2022-05-12,92.370003,93.230003,90.589996,92.739998,88.965775,6985500,0.008482
2022-05-13,94.330002,96.720001,94.269997,95.879997,91.977982,5834900,0.033858
2022-05-16,95.099998,97.930000,95.099998,96.470001,92.543991,5703500,0.006154
