Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß,10-yr yield,VIX Close,VIX % change
2017-08-16,44.590000,44.660000,43.509998,43.689999,35.410480,5795800,-0.018203,0.012199,0.193647,0.001420,0.282188,,2.23,11.74,-0.0249169435215947
2017-08-17,43.500000,43.860001,42.959999,43.000000,34.851246,6422500,-0.015793,0.011945,0.189618,-0.015437,0.515326,,2.19,15.55,0.324531516183986
2017-08-18,42.959999,43.560001,42.509998,43.110001,34.940411,7310400,0.002558,0.011950,0.189697,-0.001835,0.504013,,2.19,14.26,-0.0829581993569132
2017-08-21,42.900002,42.939999,42.270000,42.500000,34.446011,5709600,-0.014150,0.011982,0.190208,0.001163,0.531329,,2.18,13.19,-0.0750350631136045
2017-08-22,42.639999,43.360001,42.619999,43.189999,35.005253,5850200,0.016235,0.011564,0.183573,0.009941,0.693423,,2.22,11.35,-0.139499620924943
2017-08-23,42.950001,43.950001,42.830002,43.689999,35.410480,5240900,0.011576,0.011738,0.186330,-0.003454,0.609140,,2.17,12.25,0.079295154185022
2017-08-24,43.520000,43.560001,43.080002,43.299999,35.094395,4370000,-0.008926,0.010860,0.172392,-0.002074,0.557238,,2.19,12.23,-0.00163265306122449
2017-08-25,43.490002,44.110001,43.360001,43.580002,35.321335,5393800,0.006467,0.011069,0.175722,0.001673,0.614578,,2.17,11.28,-0.0776778413736713
2017-08-28,43.599998,43.630001,42.700001,43.049999,34.891773,4593400,-0.012162,0.010705,0.169936,0.000487,0.623683,,2.16,11.32,0.00354609929078014
2017-08-29,42.720001,42.990002,42.430000,42.849998,34.729664,4592900,-0.004646,0.010625,0.168671,0.000843,0.617416,,2.13,11.7,0.0335689045936396
2017-08-30,42.630001,43.500000,42.419998,43.410000,35.183552,6846900,0.013069,0.011129,0.176666,0.004615,0.686887,,2.15,11.22,-0.041025641025641
2017-08-31,43.779999,44.150002,43.520000,43.660000,35.386185,7660100,0.005759,0.011329,0.179840,0.005721,0.727267,,2.12,10.59,-0.0561497326203209
2017-09-01,43.759998,44.389999,43.480000,44.240002,35.856270,4808800,0.013284,0.011945,0.189623,0.001983,1.014837,,2.16,10.13,-0.0434372049102927
2017-09-05,44.490002,44.709999,44.110001,44.389999,35.977840,5438800,0.003390,0.011987,0.190283,-0.007551,0.837454,,2.07,12.23,0.207305034550839
2017-09-06,44.750000,45.349998,44.730000,45.060001,36.520870,5939300,0.015093,0.011410,0.181129,0.003129,0.966813,,2.1,11.63,-0.0490596892886345
2017-09-07,44.900002,45.189999,44.470001,45.110001,36.561401,5184700,0.001110,0.010180,0.161600,-0.000178,0.837605,,2.05,11.55,-0.00687876182287188
2017-09-08,45.000000,45.000000,44.099998,44.470001,36.042675,4147400,-0.014188,0.011226,0.178208,-0.001489,1.014173,,2.06,12.12,0.0493506493506494
2017-09-11,44.660000,45.290001,44.500000,44.930000,36.415512,4809400,0.010344,0.010342,0.164182,0.010839,0.917126,,2.14,10.73,-0.114686468646865
2017-09-12,45.029999,45.290001,44.790001,44.930000,36.415512,5189000,0.000000,0.009763,0.154975,0.003364,0.743196,,2.17,10.58,-0.0139794967381174
2017-09-13,45.040001,45.790001,45.000000,45.560001,36.926121,6178600,0.014022,0.009950,0.157958,0.000757,0.959169,,2.2,10.5,-0.00756143667296786
2017-09-14,45.740002,46.360001,45.650002,45.830002,37.144951,6573400,0.005926,0.009350,0.148421,-0.001101,0.767602,,2.2,10.44,-0.00571428571428571
2017-09-15,45.830002,46.509998,45.779999,46.509998,37.696083,11895000,0.014837,0.009770,0.155101,0.001847,0.775630,,2.2,10.17,-0.0258620689655172
2017-09-18,46.200001,47.230000,46.169998,47.090000,38.166168,6988900,0.012470,0.008654,0.137377,0.001456,0.683800,,2.23,10.15,-0.00196656833824975
2017-09-19,47.110001,47.779999,47.090000,47.549999,38.539005,6216100,0.009769,0.008068,0.128081,0.001110,0.633939,,2.24,10.18,0.00295566502463054
2017-09-20,47.860001,48.799999,47.799999,48.330002,39.171196,8843300,0.016404,0.008292,0.131629,0.000634,0.549296,,2.28,9.78,-0.0392927308447937
2017-09-21,48.189999,48.779999,47.889999,48.689999,39.462971,5790700,0.007449,0.008273,0.131333,-0.003046,0.605104,,2.27,9.67,-0.0112474437627812
2017-09-22,48.700001,49.650002,48.630001,49.080002,39.779060,7388200,0.008010,0.008126,0.128989,0.000648,0.579149,,2.26,9.59,-0.00827300930713547
2017-09-25,49.410000,50.189999,49.389999,49.980000,40.508511,6800100,0.018338,0.008520,0.135253,-0.002222,0.369665,,2.22,10.21,0.0646506777893639
2017-09-26,49.730000,50.029999,49.220001,49.669998,40.257256,5434200,-0.006203,0.009139,0.145078,0.000072,0.364265,,2.24,10.17,-0.0039177277179236
2017-09-27,49.669998,50.220001,49.580002,50.220001,40.703018,5369500,0.011073,0.009031,0.143358,0.004085,0.367002,,2.31,9.87,-0.0294985250737463
2017-09-28,50.450001,50.830002,49.810001,50.000000,40.524704,5490600,-0.004381,0.007440,0.118103,0.001205,-0.009171,,2.31,9.55,-0.0324214792299899
2017-09-29,49.779999,50.099998,49.610001,50.049999,40.565228,4175700,0.001000,0.007671,0.121768,0.003705,-0.690135,,2.33,9.51,-0.00418848167539267
2017-10-02,49.549999,50.330002,49.299999,50.310001,40.775967,4832100,0.005195,0.007387,0.117258,0.003874,-0.477136,,2.34,9.45,-0.00630914826498423
2017-10-03,50.169998,50.230000,49.230000,49.240002,39.908733,6742100,-0.021268,0.010562,0.167671,0.002159,-0.957650,,2.33,9.51,0.00634920634920635
2017-10-04,49.360001,49.590000,48.910000,49.310001,39.965473,5432400,0.001422,0.010621,0.168596,0.001247,-1.034485,,2.33,9.63,0.0126182965299685
2017-10-05,49.459999,49.790001,49.410000,49.700001,40.281563,5295400,0.007909,0.010298,0.163479,0.005647,-0.682116,,2.35,9.19,-0.0456905503634476
2017-10-06,49.150002,49.439999,48.700001,48.860001,39.600742,3902900,-0.016902,0.011533,0.183082,-0.001074,-0.043785,,2.37,9.65,0.0500544069640914
2017-10-09,49.099998,49.200001,48.830002,48.910000,39.641277,4765500,0.001024,0.011356,0.180276,-0.001804,0.009474,,2.37,10.33,0.0704663212435233
2017-10-10,49.369999,49.680000,49.110001,49.189999,39.868214,5252800,0.005725,0.010657,0.169175,0.002322,0.136508,,2.35,10.08,-0.0242013552758955
2017-10-11,49.200001,49.730000,48.889999,49.599998,40.200516,4534800,0.008335,0.010699,0.169839,0.001804,0.572872,,2.35,9.85,-0.0228174603174603
2017-10-12,49.090000,49.869999,49.009998,49.810001,40.370712,4443100,0.004234,0.010566,0.167722,-0.001687,0.459983,,2.33,9.91,0.00609137055837563
2017-10-13,49.990002,50.160000,49.360001,49.400002,40.252571,4629900,-0.002926,0.009357,0.148542,0.000878,1.526391,,2.28,9.61,-0.0302724520686176
2017-10-16,49.709999,50.130001,49.650002,49.720001,40.513306,4301600,0.006477,0.009367,0.148701,0.001751,1.449753,,2.3,9.91,0.0312174817898023
2017-10-17,49.700001,49.939999,49.320000,49.720001,40.513306,3579000,0.000000,0.008859,0.140632,0.000673,1.146832,,2.3,10.31,0.0403632694248234
2017-10-18,49.750000,50.180000,49.560001,49.709999,40.505157,6481700,-0.000201,0.008781,0.139392,0.000742,1.121226,,2.34,10.07,-0.023278370514064
2017-10-19,49.389999,50.040001,49.299999,49.709999,40.505157,4015400,0.000000,0.008776,0.139317,0.000328,1.175659,,2.33,10.05,-0.00198609731876862
2017-10-20,49.900002,50.400002,49.560001,50.250000,40.945171,5993200,0.010863,0.009160,0.145412,0.005117,1.446412,,2.39,9.97,-0.00796019900497512
2017-10-23,50.279999,50.750000,49.930000,50.259998,40.953320,5589000,0.000199,0.006744,0.107052,-0.003972,1.349193,,2.38,11.07,0.110330992978937
2017-10-24,50.480000,51.320000,50.419998,50.990002,41.548145,7609400,0.014524,0.007539,0.119680,0.001618,1.444528,,2.42,11.16,0.00813008130081301
2017-10-25,51.060001,51.130001,49.750000,49.959999,40.708870,6989700,-0.020200,0.009550,0.151600,-0.004663,2.319263,,2.44,11.23,0.00627240143369176
2017-10-26,50.389999,51.770000,49.790001,51.459999,41.931114,7564600,0.030024,0.010987,0.174415,0.001271,2.373017,,2.46,11.3,0.006233303650935
2017-10-27,51.160000,52.230000,50.200001,51.209999,41.727409,7835700,-0.004858,0.011226,0.178202,0.008073,1.018358,,2.42,9.8,-0.132743362831858
2017-10-30,51.389999,51.799999,50.889999,51.389999,41.874073,6647600,0.003515,0.011211,0.177968,-0.003192,0.907536,,2.37,10.5,0.0714285714285714
2017-10-31,51.320000,51.610001,51.020000,51.150002,41.678524,6171500,-0.004670,0.011324,0.179763,0.000944,0.858815,,2.38,10.18,-0.0304761904761905
2017-11-01,51.810001,52.279999,51.430000,52.099998,42.452599,6455500,0.018573,0.012101,0.192096,0.001592,0.995600,,2.37,10.2,0.00196463654223969
2017-11-02,52.060001,52.590000,51.689999,52.480000,42.762245,6177100,0.007294,0.011980,0.190182,0.000190,0.985740,,2.35,9.93,-0.0264705882352941
2017-11-03,52.369999,53.270000,51.990002,52.959999,43.153347,8030100,0.009146,0.012037,0.191083,0.003097,1.011944,,2.34,9.14,-0.0795568982880161
2017-11-06,53.009998,53.939999,52.799999,53.669998,43.731880,8438900,0.013406,0.012177,0.193298,0.001271,1.026213,,2.32,9.4,0.0284463894967177
2017-11-07,53.930000,54.070000,52.930000,53.480000,43.577072,8577500,-0.003540,0.012330,0.195725,-0.000189,1.073246,,2.32,9.89,0.0521276595744681
2017-11-08,54.099998,54.220001,53.160000,53.520000,43.609676,7513000,0.000748,0.012306,0.195358,0.001444,1.038409,,2.32,9.78,-0.0111223458038423
2017-11-09,53.270000,53.650002,52.830002,53.529999,43.617805,6709400,0.000186,0.012270,0.194777,-0.003762,1.013226,,2.33,10.5,0.0736196319018405
2017-11-10,53.400002,53.490002,52.500000,52.990002,43.177814,5504600,-0.010087,0.012848,0.203952,-0.000898,1.153225,,2.4,11.29,0.0752380952380952
2017-11-13,52.660000,52.959999,52.509998,52.570000,42.835567,6728300,-0.007926,0.012816,0.203440,0.000984,1.025909,,2.4,11.5,0.0186005314437555
2017-11-14,52.189999,52.430000,51.080002,51.230000,41.743706,6945000,-0.025490,0.013584,0.215633,-0.002310,0.885983,,2.38,11.59,0.00782608695652174
2017-11-15,50.740002,51.169998,49.950001,50.490002,41.140732,7262700,-0.014445,0.011542,0.183225,-0.005526,1.064043,,2.33,13.13,0.132873166522865
2017-11-16,50.400002,50.650002,50.080002,50.220001,40.920731,5694900,-0.005348,0.011554,0.183421,0.008196,1.021685,,2.37,11.76,-0.104341203351104
2017-11-17,50.240002,50.520000,50.000000,50.130001,40.847401,4191800,-0.001792,0.011470,0.182080,-0.002626,1.161407,,2.35,11.43,-0.0280612244897959
2017-11-20,50.000000,50.250000,49.580002,50.080002,40.806656,4429600,-0.000997,0.011439,0.181589,0.001276,1.175813,,2.37,10.65,-0.068241469816273
2017-11-21,50.270000,50.740002,49.669998,50.009998,40.749615,6331500,-0.001398,0.009891,0.157011,0.006541,0.829695,,2.36,9.73,-0.0863849765258216
2017-11-22,50.520000,50.590000,50.020000,50.220001,40.920731,4818700,0.004199,0.009678,0.153638,-0.000750,0.793348,,2.32,9.88,0.0154162384378212
2017-11-24,50.450001,50.869999,50.439999,50.470001,41.124435,2288900,0.004978,0.009331,0.148119,0.002056,0.710100,,2.34,9.67,-0.0212550607287449
2017-11-27,50.220001,50.250000,49.080002,49.160000,40.057003,6369000,-0.025956,0.009798,0.155536,-0.000384,0.704540,,2.32,9.87,0.0206825232678387
2017-11-28,49.360001,50.160000,48.970001,50.130001,40.847401,6524700,0.019732,0.012009,0.190642,0.009849,1.307213,,2.34,10.03,0.0162107396149949
2017-11-29,49.919998,50.830002,49.720001,50.730000,41.336296,6897800,0.011969,0.012742,0.202268,-0.000369,1.216215,,2.37,10.7,0.0667996011964108
2017-11-30,50.919998,51.779999,50.650002,50.880001,41.458515,11184300,0.002957,0.012829,0.203648,0.008191,1.335257,,2.42,11.28,0.0542056074766355
2017-12-01,51.509998,52.470001,51.230000,51.740002,42.159267,6683900,0.016902,0.013763,0.218487,-0.002025,1.009082,,2.37,11.43,0.0132978723404255
2017-12-04,51.869999,52.360001,51.250000,51.290001,41.792587,6168500,-0.008697,0.013792,0.218943,-0.001052,1.033119,,2.37,11.68,0.0218722659667542
2017-12-05,51.230000,51.700001,51.110001,51.230000,41.743706,4531700,-0.001170,0.011973,0.190062,-0.003739,0.717686,,2.36,11.33,-0.0299657534246575
2017-12-06,51.070000,51.240002,50.320000,50.380001,41.051102,4437300,-0.016592,0.012185,0.193428,-0.000114,0.584768,,2.33,11.02,-0.0273609885260371
2017-12-07,50.320000,50.830002,50.080002,50.540001,41.181469,4037800,0.003176,0.012114,0.192311,0.002932,0.866798,,2.37,10.16,-0.0780399274047187
2017-12-08,50.869999,51.709999,50.740002,51.570000,42.020744,5316200,0.020380,0.013190,0.209387,0.005506,1.137817,,2.38,9.58,-0.0570866141732283
2017-12-11,51.540001,52.310001,51.410000,51.689999,42.118530,4040400,0.002327,0.013160,0.208907,0.003202,1.123892,,2.39,9.34,-0.0250521920668058
2017-12-12,51.880001,52.060001,51.209999,51.959999,42.338535,6200200,0.005223,0.013134,0.208497,0.001549,1.325210,,2.4,9.92,0.0620985010706638
2017-12-13,51.919998,52.090000,51.580002,51.680000,42.110378,4906800,-0.005389,0.013305,0.211215,-0.000473,1.439904,,2.36,10.18,0.0262096774193548
2017-12-14,51.900002,52.759998,51.849998,52.310001,42.623711,6436200,0.012190,0.013561,0.215276,-0.004071,1.005969,,2.35,10.49,0.0304518664047151
2017-12-15,52.779999,53.049999,52.060001,52.169998,42.509644,11363400,-0.002676,0.010962,0.174022,0.008974,0.469875,,2.35,9.42,-0.102001906577693
2017-12-18,52.110001,52.660000,52.110001,52.340000,42.648163,5565300,0.003259,0.010024,0.159119,0.005363,0.040131,,2.39,9.53,0.0116772823779193
2017-12-19,52.459999,52.930000,52.139999,52.680000,42.925213,4795800,0.006496,0.009756,0.154864,-0.003230,0.039254,,2.46,10.03,0.0524658971668416
2017-12-20,52.900002,54.509998,52.459999,54.250000,44.204487,8064600,0.029802,0.012146,0.192818,-0.000828,-0.173318,,2.49,9.72,-0.0309072781655035
2017-12-21,54.150002,56.070000,54.029999,55.950001,45.589699,7824700,0.031336,0.013770,0.218586,0.001986,0.119399,,2.48,9.62,-0.0102880658436214
2017-12-22,56.049999,56.209999,55.459999,55.500000,45.223030,3911900,-0.008043,0.013718,0.217767,-0.000458,0.073140,,2.48,9.9,0.0291060291060291
2017-12-26,55.779999,56.369999,55.540001,56.230000,45.817848,3194900,0.013153,0.013697,0.217439,-0.001058,-0.214242,,2.47,10.25,0.0353535353535354
2017-12-27,56.060001,56.070000,55.139999,55.590000,45.296360,4369600,-0.011382,0.013071,0.207489,0.000791,-0.354290,,2.42,10.47,0.0214634146341463
2017-12-28,55.490002,55.590000,55.099998,55.180000,44.962269,4240600,-0.007376,0.013609,0.216042,0.001834,-0.362493,,2.43,10.18,-0.0276981852913085
2017-12-29,55.439999,55.500000,54.869999,54.889999,44.725979,3668500,-0.005255,0.013302,0.211158,-0.005183,-0.334646,,2.4,11.04,0.0844793713163065
